Feature,Importance
Average Duration of Open Issues,0.0707711148671153
Average Duration of Open Pull Requests,0.0599714409299541
Number of Long-Inactive Contributors,0.0582052006447257
Overall Activity Events of the Project,0.0579170240713555
Number of Project Forks,0.0569518933783807
Number of Code Lines Deleted,0.0549394507652949
Number of Stars the Project Has Received,0.0508437618756196
Total Number of Lines Changed,0.0505701588308584
Number of New Code Lines Added,0.0494663126012299
Number of Comments on Issues,0.0481967966456863
Average Response Time for Issues,0.0473792624377561
Average Time to Resolve Pull Requests,0.0452858674812868
Average Response Time for Code Change Requests,0.0421950087169444
Average Time to Resolve Issues,0.0421502483039744
Number of Active Issues and Pull Requests,0.040619017415421
Number of Participants,0.0356131026576662
Total Number of Pull Requests,0.031501121287738
Number of Newly Raised Issues,0.0299051984226846
Number of Key Contributors the Project Relies On,0.0297772595210407
Number of Accepted Pull Requests,0.0284151139353045
Number of Closed Issues,0.0276822764199539
Number of Reviews for Pull Requests,0.0229207170324848
Number of New Contributors,0.0187226517575231
